item_id,order_id,product_id,quantity,unit_price,discount_percent
1,339,176,4,4630.81,13.97
2,58,471,3,3083.59,7.95
3,219,80,2,3960.63,17.25
4,125,421,3,3308.03,98.43
5,1,124,3,999.87,1.42
6,266,210,7,3509.27,85.41
7,433,358,6,543.42,44.11
8,132,317,3,2389.12,65.64
9,74,396,1,4265.91,24.84
10,203,499,7,1815.37,91.49
11,387,67,6,166.13,10.39
12,235,200,10,1442.39,62.08
13,287,178,6,1399.78,81.74
14,491,73,2,3455.65,89.88
16,294,299,8,2321.21,61.72
17,271,428,6,2352.26,30.94
18,238,205,10,4328.9,30.92
19,364,23,2,4486.79,53.79
20,440,93,7,2232.76,30.8
21,104,55,4,2905.37,65.69
22,484,122,8,967.72,39.74
23,140,68,10,2733.59,45.3
24,367,461,1,3710.82,88.57
25,100,144,9,3877.31,48.31
26,273,129,2,2732.9,22.73
28,257,28,1,4935.68,59.32
29,211,232,5,983.91,51.34
30,266,274,4,2249.05,43.52
32,66,193,6,899.82,54.24
33,267,199,10,924.62,11.58
34,379,198,9,3972.0,77.63
36,214,344,10,2164.05,42.05
37,469,453,3,3057.62,16.73
38,410,334,1,4545.44,27.64
39,171,495,6,4354.71,39.23
40,112,398,10,1969.82,17.31
41,375,147,1,4135.11,22.46
42,42,40,5,1892.45,3.44
43,260,373,10,3371.11,55.86
44,266,277,1,4097.35,64.84
45,325,131,5,3506.75,69.74
46,212,166,5,4370.12,42.25
47,352,476,10,3273.37,8.37
48,6,478,6,3289.3,3.4
49,35,335,2,3211.84,43.94
50,143,130,4,373.85,68.33
51,403,283,4,1407.63,46.58
52,422,245,7,1784.03,36.55
53,364,353,10,4777.21,19.4
54,477,71,3,153.12,87.58
55,449,282,6,2759.55,1.66
56,201,310,2,146.7,99.35
57,485,430,4,250.2,4.01
58,210,364,1,2018.67,9.5
59,193,360,7,2557.75,58.16
60,130,64,8,4522.79,19.3
61,102,387,9,4348.94,72.99
62,179,154,5,4877.32,93.74
63,321,446,8,4786.36,79.24
64,212,130,10,373.85,28.78
65,50,316,6,4037.47,38.75
66,347,303,3,2311.32,77.91
67,78,27,10,3247.23,95.32
68,329,23,7,4486.79,64.21
69,261,18,6,1325.66,95.51
70,198,89,10,1837.46,12.32
71,481,176,4,4630.81,20.64
72,107,21,10,4151.99,26.06
73,346,244,8,1612.0,40.6
74,298,440,9,268.43,6.99
75,496,30,9,2249.45,34.8
76,197,218,9,4022.1,62.71
77,216,151,8,4835.38,65.63
78,346,135,10,760.44,68.78
79,42,442,9,2453.53,26.32
80,248,63,7,558.55,63.99
81,66,364,3,2018.67,14.16
82,146,162,2,2749.15,13.39
83,202,148,2,2084.83,83.69
84,157,357,3,2667.35,2.06
86,174,421,5,3308.03,5.75
88,205,200,4,1442.39,19.68
89,160,14,8,2102.13,78.9
90,353,66,7,1711.27,10.23
91,124,453,1,3057.62,53.11
92,256,275,10,3072.61,11.64
93,38,392,3,640.77,72.04
94,361,226,4,1514.38,29.2
95,288,39,9,4919.13,78.0
96,197,250,8,206.26,1.55
97,130,311,9,4836.96,55.34
98,342,500,8,4099.86,79.86
99,220,248,8,2438.6,16.22
100,122,332,2,209.34,0.06
101,134,400,7,2794.46,74.64
102,82,324,8,3741.47,71.43
103,281,383,8,4627.69,91.14
104,485,459,1,2059.77,90.52
105,101,316,4,4037.47,87.44
106,220,35,9,2604.85,79.63
107,402,220,10,3665.84,74.14
108,147,152,4,732.48,36.16
109,459,500,10,4099.86,45.13
110,398,208,8,428.01,8.61
111,89,467,6,1003.25,57.13
113,468,305,10,1971.74,10.04
114,476,198,6,3972.0,61.97
115,326,256,2,1230.16,78.68
116,371,289,3,2034.57,45.29
117,5,200,4,1442.39,25.22
118,55,58,3,1466.04,1.64
119,477,436,3,555.88,64.37
120,174,323,9,4505.51,38.73
121,130,183,5,972.19,94.04
122,318,84,10,174.77,83.59
123,106,53,6,3045.74,97.88
124,245,397,3,2893.65,62.44
