product_id,product_name,category,subcategory,cost_price
1,Remember Women,Clothing,Women,2460.08
2,Everything Furniture,Home,Furniture,4312.64
3,Together Kids,Clothing,Kids,755.71
4,Huge Accessories,Electronics,Accessories,1012.79
5,Or Decor,Home,Decor,119.91
6,Teacher Fiction,Books,Fiction,1751.88
7,Explain Accessories,Electronics,Accessories,4223.45
8,Country Kitchen,Home,Kitchen,1618.29
9,Himself Furniture,Home,Furniture,561.67
10,Market Mobile,Electronics,Mobile,2744.78
11,Bring Accessories,Electronics,Accessories,4163.21
12,Mr Fiction,Books,Fiction,2017.93
13,Court Men,Clothing,Men,3716.04
14,Himself Decor,Home,Decor,2102.13
15,Free Accessories,Electronics,Accessories,2562.24
16,Section Education,Books,Education,4892.72
17,Country Education,Books,Education,4904.6
18,Sing Accessories,Electronics,Accessories,1325.66
19,Turn Men,Clothing,Men,1795.13
20,Political Accessories,Electronics,Accessories,253.48
21,Order Comics,Books,Comics,4151.99
22,Soon Accessories,Electronics,Accessories,329.14
23,Range Decor,Home,Decor,4486.79
24,World Comics,Books,Comics,1007.22
25,Identify Furniture,Home,Furniture,228.01
26,Room Women,Clothing,Women,547.9
27,Rise Accessories,Electronics,Accessories,3247.23
28,Degree Furniture,Home,Furniture,4935.68
29,Reach Furniture,Home,Furniture,3780.4
30,Whether Decor,Home,Decor,2249.45
31,Huge Kitchen,Home,Kitchen,4873.05
32,Add Decor,Home,Decor,3284.78
33,Leave Furniture,Home,Furniture,3096.62
34,Difficult Laptop,Electronics,Laptop,2801.7
35,Population Women,Clothing,Women,2604.85
36,Explain Laptop,Electronics,Laptop,3177.43
37,Western Kitchen,Home,Kitchen,4702.84
38,Feeling Kids,Clothing,Kids,4082.5
39,Any Kids,Clothing,Kids,4919.13
40,Affect Furniture,Home,Furniture,1892.45
41,Provide Accessories,Electronics,Accessories,4808.15
42,Continue Kids,Clothing,Kids,1462.78
43,War Decor,Home,Decor,2352.89
44,Half Laptop,Electronics,Laptop,4875.98
45,Room Decor,Home,Decor,2105.01
46,Occur Comics,Books,Comics,269.19
47,Likely Education,Books,Education,3723.84
48,Space Decor,Home,Decor,4769.52
49,Cost Men,Clothing,Men,1726.23
50,Join Women,Clothing,Women,3272.27
51,Recently Accessories,Electronics,Accessories,1878.06
52,Grow Women,Clothing,Women,2669.37
53,Still Kitchen,Home,Kitchen,3045.74
54,Take Decor,Home,Decor,2112.81
55,Edge Women,Clothing,Women,2905.37
56,Education Men,Clothing,Men,177.59
57,Speech Laptop,Electronics,Laptop,1281.94
58,View Education,Books,Education,1466.04
59,Since Accessories,Electronics,Accessories,976.29
60,Difficult Laptop,Electronics,Laptop,1152.69
