product_id,product_name,category,subcategory,cost_price
1,Meeting Fiction,Books,Fiction,4444.78
2,Red Comics,Books,Comics,1827.75
3,Protect Women,Clothing,Women,3643.49
4,Individual Furniture,Home,Furniture,405.73
5,Number Accessories,Electronics,Accessories,469.17
6,  Past Kids  ,Clothing,Kids,1695.08
7,Memory Education,Books,Education,2851.06
8,Figure Decor,Home,Decor,835.97
9,Administration Men,Clothing,Men,1284.67
10,SONG KIDS,Clothing,Kids,683.89
11,Wait Furniture,Home,Furniture,829.79
12,Avoid Accessories,Electronics,Accessories,3452.06
13,Far Men,Clothing,Men,1515.46
14,Owner Fiction,Books,Fiction,2429.54
15,Future Comics,Books,Comics,3485.36
16,Full Women,Clothing,Women,3516.45
17,Chance Fiction,Books,Fiction,1272.53
18,Them Women,Clothing,Women,1367.36
19,Power Furniture,Home,Furniture,1928.21
20,School Mobile,Electronics,Mobile,1106.19
21,Candidate Fiction,Books,Fiction,1896.97
22,Door Accessories,Electronics,Accessories,3761.52
23,Wind Kids,Clothing,Kids,2466.2
24,Change Women,Clothing,Women,1782.51
25,Hear Education,Books,Education,2375.8
26,POSITION KIDS,Clothing,Kids,1971.42
27,Law Laptop,Electronics,Laptop,4502.02
28,Top Education,Books,Education,2314.73
29,Of Kids,Clothing,Kids,414.64
30,Professional Decor,Home,Decor,1398.65
31,Decision Comics,Books,Comics,4453.67
32,Painting Fiction,Books,Fiction,2789.12
33,Institution Kids,Clothing,Kids,4524.59
34,Difficult Fiction,Books,Fiction,4261.04
35,Pass Accessories,Electronics,Accessories,2018.2
36,Surface Men,Clothing,Men,3098.26
37,Culture Fiction,Books,Fiction,647.81
38,Claim Furniture,Home,Furniture,790.41
39,Reason Mobile,Electronics,Mobile,3165.8
40,Congress Education,Books,Education,4768.01
41,Choose Fiction,Books,Fiction,4792.3
42,Even Comics,Books,Comics,1312.63
43,Somebody Education,Books,Education,600.98
44,Across Decor,Home,Decor,4743.17
45,List Kids,Clothing,Kids,1653.06
46,Will Mobile,Electronics,Mobile,3330.0
47,Nice Decor,Home,Decor,4156.21
48,Much Women,Clothing,Women,4774.44
49,Phone Women,Clothing,Women,818.59
50,Push Mobile,Electronics,Mobile,3480.7
51,Use Education,Books,Education,2860.4
52,Let Education,Books,Education,1234.91
53,Simple Furniture,Home,Furniture,3712.39
54,seven accessories,Electronics,Accessories,3949.38
55,Meeting Fiction,Books,Fiction,1923.31
56,Choice Decor,Home,Decor,700.13
57,Fire Furniture,Home,Furniture,3942.79
58,Apply Accessories,Electronics,Accessories,3125.15
59,Specific Laptop,Electronics,Laptop,1524.92
60,Really Comics,Books,Comics,3921.04
61,Interview Men,Clothing,Men,745.91
62,Enjoy Accessories,Electronics,Accessories,1194.02
63,As Education,Books,Education,3687.57
64,  In Laptop  ,Electronics,Laptop,4156.89
65,Already Comics,Books,Comics,1608.05
66,Sound Education,Books,Education,588.51
67,Trade Kitchen,Home,Kitchen,2712.38
68,During Comics,Books,Comics,4435.48
69,Small Kitchen,Home,Kitchen,2124.01
70,Environmental Mobile,Electronics,Mobile,2557.64
71,Improve Furniture,Home,Furniture,2656.7
72,Billion Kitchen,Home,Kitchen,2229.56
73,Feeling Mobile,Electronics,Mobile,3996.31
74,Notice Men,Clothing,Men,1679.09
75,Degree Fiction,Books,Fiction,4284.19
76,Ready Fiction,Books,Fiction,1131.42
77,Allow Men,Clothing,Men,2189.45
78,Case Mobile,Electronics,Mobile,4701.27
79,Author Mobile,Electronics,Mobile,1479.16
80,Religious Kids,Clothing,Kids,3781.35
81,Week Decor,Home,Decor,2761.26
82,Letter Kitchen,Home,Kitchen,1615.79
83,Military Fiction,Books,Fiction,766.24
84,Live Education,Books,Education,3197.86
85,Federal Decor,Home,Decor,896.04
86,Throw Comics,Books,Comics,2523.5
87,Gun Men,Clothing,Men,382.34
88,Owner Laptop,Electronics,Laptop,943.4
89,Mind Mobile,Electronics,Mobile,2897.17
90,Push Men,Clothing,Men,2655.71
91,Floor Laptop,Electronics,Laptop,1744.67
92,  Catch Kitchen  ,Home,Kitchen,3010.48
93,Letter Comics,Books,Comics,4085.28
94,Big Mobile,Electronics,Mobile,1982.99
95,Seat Men,Clothing,Men,2500.58
96,Positive Decor,Home,Decor,670.68
97,PERHAPS KIDS,Clothing,Kids,2438.07
98,Line Comics,Books,Comics,3532.04
99,Kind Decor,Home,Decor,198.87
100,Better Education,Books,Education,4035.91
101,Lot Accessories,Electronics,Accessories,3771.82
102,After Fiction,Books,Fiction,501.05
103,Reality Women,Clothing,Women,3292.41
104,Free Kids,Clothing,Kids,4683.09
105,Meet Women,Clothing,Women,615.11
106,SEVERAL LAPTOP,Electronics,Laptop,1110.86
107,NAME LAPTOP,Electronics,Laptop,1525.66
108,Share Comics,Books,Comics,2347.52
109,Campaign Mobile,Electronics,Mobile,1598.47
110,Key Men,Clothing,Men,2906.72
111,Pm Fiction,Books,Fiction,3708.56
112,Something Laptop,Electronics,Laptop,3181.2
113,Both Education,Books,Education,124.22
114,Identify Furniture,Home,Furniture,4360.46
115,Activity Comics,Books,Comics,2041.49
116,Necessary Comics,Books,Comics,1434.62
117,Its Fiction,Books,Fiction,2220.99
118,Individual Laptop,Electronics,Laptop,3112.87
119,Defense Comics,Books,Comics,4794.21
120,trial kitchen,Home,Kitchen,1885.58
121,Also Furniture,Home,Furniture,1079.75
122,Source Comics,Books,Comics,1172.77
123,Perform Comics,Books,Comics,3864.96
124,Future Comics,Books,Comics,881.72
125,As Women,Clothing,Women,3901.02
126,Ago Laptop,Electronics,Laptop,2810.75
127,Attorney Laptop,Electronics,Laptop,2632.83
128,Size Decor,Home,Decor,4692.49
129,Say Accessories,Electronics,Accessories,540.46
130,Market Accessories,Electronics,Accessories,3153.96
131,Avoid Women,Clothing,Women,2099.84
132,STEP WOMEN,Clothing,Women,1483.14
133,Control Fiction,Books,Fiction,1548.8
134,Lot Kitchen,Home,Kitchen,466.33
135,Whole Decor,Home,Decor,4578.74
136,Stay Furniture,Home,Furniture,1095.92
137,Travel Comics,Books,Comics,3688.8
138,Since Kitchen,Home,Kitchen,946.51
139,He Women,Clothing,Women,4295.29
140,Four Comics,Books,Comics,2360.07
141,Base Kitchen,Home,Kitchen,3366.62
142,More Fiction,Books,Fiction,2096.69
143,Risk Men,Clothing,Men,487.35
144,Check Laptop,Electronics,Laptop,1843.16
145,Anything Accessories,Electronics,Accessories,3838.61
146,There Kitchen,Home,Kitchen,1082.51
147,Yes Accessories,Electronics,Accessories,4987.7
148,Plant Mobile,Electronics,Mobile,544.04
149,Church Men,Clothing,Men,1224.42
150,Book Comics,Books,Comics,1451.45
151,Run Education,Books,Education,1793.13
152,Painting Men,Clothing,Men,3152.09
153,Red Education,Books,Education,1835.79
154,Us Laptop,Electronics,Laptop,4995.67
155,Number Accessories,Electronics,Accessories,3943.61
156,While Laptop,Electronics,Laptop,492.6
157,Sport Accessories,Electronics,Accessories,437.17
158,Woman Women,Clothing,Women,1293.02
159,Various Fiction,Books,Fiction,775.13
160,Consumer Decor,Home,Decor,2054.38
161,Reality Comics,Books,Comics,4406.25
162,Think Education,Books,Education,1749.93
163,Outside Education,Books,Education,4092.69
164,Poor Fiction,Books,Fiction,1514.86
165,Exactly Education,Books,Education,680.61
166,Morning Fiction,Books,Fiction,3003.7
167,Pretty Education,Books,Education,934.51
168,Security Mobile,Electronics,Mobile,3283.66
